NAME,YEAR_EST,UNIQUE_ID_ROUND____STATE____ACC,TYPE,SITE_TYPE,FACILITY_TYPE,PROGRAM_TYPE,LAT,LNG,ADDRESS1,CITY,REGION,STATE,ZIP,COUNTY,ADDITIONAL_LOCATION_INFO,CONGRESSIONAL_DISTRICT,RELIGION,RACE,URL,VISITOR_PHONE,VISITOR_INFO_EMAIL,OPEN,COUNTRY,NPS_UNIT,PARK_NAME,PARK_CODE,NATIONAL_HISTORIC_ID,NPS_REGION,ASSOCIATED_PEOPLE,ASSOCIATED_ORGANIZATIONS,FREEDOM_SEEKERS,UGRROPS,Stamps,ABSTRACT
John Jefferson McWilliams Burial Site at Wyuka Funeral Home and Cemetery,2013,26NE02,Site,Cemetery,,,40.813518,-96.667302,3600 O Street,Lincoln,Midwest,Nebraska,68510,Lancaster,"300 O Street, Lincoln, Nebraska 68510",1,,,http://wyuka.com/,402-474-3600,No,Yes,USA,No,,,,Midwest,,,"John J McWilliams (1863, MO)",,No,"Wyuka Cemetery in Lincoln, Nebraska, is the burial site of Reverend John Jefferson McWilliams a freedom seeker from Missouri. McWilliams was born enslaved in Madison County, Kentucky, in 1843. He and his parents were sold to a slave owner in Missouri when McWilliams was an infant. At the age of 10, McWilliams was sold for the last time to a man in Buchanan County, Missouri. In 1863, McWilliams made the brave decision to escape from slavery and fled to Kansas. On his way to Kansas, McWilliams went to St. Joseph, Missouri, and received aid from Union recruiters. On July 12th, 1863, McWilliams enlisted in the 2nd Kansas Colored Infantry in Elwood, Kansas. He served with Union army until the end of the Civil War in 1865. After the war, McWilliams married Sarah Jay Stanton, who also had escaped slavery, on December 25th, 1868. The McWilliams family finally settled in Lincoln, Nebraska in 1886. McWilliams and his wife became ordained ministers and founded Lincoln's first integrated church, the Third Christian Church, now known as the Christ Temple Mission Church. McWilliams died on March 20th, 1917 in Lincoln, Nebraska, and was buried in the Civil War Veteran's Circle of the Wyuka Cemetery.

John J McWilliams' burial site is featured on the cemetery's published tour, ""Wyuka Cemetery: A Driving , Walking Tour,"" which is available online at <a href='http://wyukafoundation.org/pdf/WyukaTourBook.pdf' rel='nofollow ugc'>http://wyukafoundation.org/pdf/WyukaTourBook.pdf</a>."
Nebraska House Site,2013,26NE03,Site,Escape,,,40.395863,-95.656229,Corner of Water Street and Steam Boat Trace Trail,Brownville,Midwest,Nebraska,68321,Nemaha,,3,,,N/A,No,No,No,USA,No,,,,Midwest,"Archie Handley (Slave Catcher),J.R. Davis (Slave Catcher),Thomas Williams (Slave Catcher),William Myers (Slave Catcher)",,,,No,"The site of the Nebraska House, a former hotel completed in 1857 and located in Brownville, Nebraska, was associated with an escape in which a bloody shootout between slave catchers and freedom seekers occurred. In the fall of 1857, three freedom seekers escaped from Platte County, Missouri. While traveling from Kansas and into the Territory of Nebraska, the freedom seekers were spotted a few miles south of the town of Brownville.Hoping to make some money catching runaway slaves, four men, J.R. Davis, Thomas Williams, Archie Handley and William Myers pursued the three freedom seekers. When the two parties encountered one another a violent shootout broke out.In result, an unnamed freedom seeker was shot in the arm and Myers mortally wounded. The other two freedom seekers escaped, while the injured one was held at the Nebraska House, and put into the hands of deputy sheriff, Ben Thompson. While in the custody of Thompson, the freedom seeker was protected from a mob of pro slavery sympathizers that wanted to kill him for the murder of a white man. The freedom seeker was charged with murder, however, the charges were eventually dropped because it was determined that it was not he, but one of the other two freedom seekers who had shot Myers. After his release from the Nemaha County Jail, the wounded freedom seeker was returned to slavery in Missouri."
Col. William Hubbard House,2013,26OH01,Site,Station,,,41.899224,-80.806197,1603 Walnut Boulevard,Ashtabula,Midwest,Ohio,44004-2666,Ashtabula,,14,,,http://www.hubbardhouseugrrmuseum.org,440-964-8168,No,Yes,USA,No,,,,Midwest,,,"Uncle Jake (1830s),William Holmes (1838)",Col./Deacon William Hubbard,Yes,"The Hubbard House (c. 1840s), built in Greek Revival architectural style and located in Ashtabula Harbor, Ohio, was the home of abolitionist and Underground Railroad station-master Col. William Hubbard (a.k.a. Deacon William Hubbard), a well-known businessman in the community, who was active in establishing several anti-slavery societies within the county. Described as a northern terminus of the Underground Railroad, his house served as one of the last stops that individuals escaping slavery reached had before being ferried over to Canada. The house was also known as ""Old Mother Hubbard's Cupboard"" and ""The Great Emporium."" Today the house, which is listed on the National Register of Historic Places, is home to the Hubbard House Underground Railroad Museum with displays devoted to recreating how the house looked in William Hubbard's time, as well as displays for the Civil War and local history.

The Hubbard House Underground Railroad Museum is open during the summer to visitors, with the season lasting from Memorial Day through Labor Day. Group tours are available year round with a minimum of 10 persons. "
George and Sarah Guthrie House,2013,26OH02,Site,Station,,,39.930759,-82.008597,521 Woodlawn Avenue,Zanesville,Midwest,Ohio,43701,Muskingum,,12,,,N/A,No,No,No,USA,No,,,,Midwest,,,,"George Guthrie,Sarah Guthrie",No,"Built in 1842 in Putnam, Ohio (now Zanesville), the temple-form Greek Revival house was the residence of prosperous merchant George Guthrie and his wife Sarah and a station on the Underground Railroad. George was a founding member and later served as a trustee of the Putnam Presbyterian Church, which was strongly linked to the abolitionist and Underground Railroad movements and is currently listed in the Network to Freedom. It is documented that George and Sarah, working in concert with George's brothers Austin (whose home is also listed in the Network to Freedom) and Stephen, along with members of the African American community, participated in Underground Railroad activities.

The two-story building with a two-story portico supported by four Tuscan columns is listed in the National Register of Historic Places as part of Zanesville's Putnam Historic District. The house is currently a private residence and not open to the public, but is featured on tours of the Historic District.
"
Dr. Robert Collins House: William and Ellen Craft Escape Site,2014,27GA01,Site,Escape,,,32.839716,-83.631692,830 Mulberry St,Macon,Southeast,Georgia,31201,Bibb,,8,,,N/A,No,No,No,USA,No,,,,Southeast,Fugitive Slave Law,Boston Vigilance Committee,Ellen Craft,William Still,No,"William and Ellen Craft became international heroes as people seeking freedom from enslavement in Macon, Georgia. They took advantage of Ellen's light skinned complexion to pose as a wealthy landowner with William serving as personal servant. Their escape began from the residence at 830 Mulberry Street where the couple lived and Ellen had become a trusted servant. Ellen was a wedding gift to her half-sister Eliza when she married Dr. Robert Collins. Longing for freedom, the Crafts obtained holiday passes from their masters and boarded a train in Macon bound for Savannah shortly before Christmas on December 21, 1848. Avoiding confrontation and inquiries from transportation agents, the Crafts successfully arrived in Philadelphia on Christmas day where they were met by abolitionists who provided food and shelter. With the help of others, they successfully eluded slave hunters before moving to the safer areas near Boston and England before eventually returning to Georgia in April 1870 to help former enslaved people."
"African American Quilt Museum and Textile Academy (Marla Quilts, Inc.)",2014,27KS01,Program,,,Other,38.947789,-95.223912,2001 Haskell Avenue,Lawrence,Midwest,Kansas,66044,Douglas,,2,,,http://www.freedomsfrontier.org/Visitors/Sites/Comments.aspx?id=170,No,No,No,USA,No,,,,Midwest,,,,,Yes,"Based in Lawrence, Kansas, the African American Quilt Museum and Textile Academys youth programming, established in 2004, explores the Underground Railroad and struggles for freedom stories via visual literacy and textiles. Owner Marla Jackson has taught some 500 students how to research, design and showcase African-American stories through quilts and multi-media. Her ""Beyond the Book"" curriculum includes textile dyeing, sewing, design and quilting to visualize African-American stories. Examples of their Underground Railroad themed quilts include John Brown, the First Kansas Colored Volunteer Infantry, Quantrill's Raid on Lawrence, and Harriet Tubman. A 2014 project with Freedom's Frontier National Heritage Area will explore the life of an enslaved seamstress, Maria Rodgers Martin, who was enslaved at the Robert A. Brown House, a Network to Freedom site in Missouri and found freedom in Kansas.
<p align='justify'>Jackson is a nationally known visual artist recognized for her Story Quilts. She recently completed a term as artist-in-residence for Brown v. Board of Education National Historic Site in Topeka where she helped students explore their African-American heritage. ""I am particularly drawn to stories and images depicting slavery and freedom, specifically as it resulted from efforts of the Underground Railroad,"" Jackson stated in an April 7, 2013 article in the ""Lawrence Journal World"".</p>"
Buttons Creek:Jane Kane Escape Site,2014,27MD02,Site,Escape,,,38.42201,-76.062411,Blackwater River at Buttons Creek,Cambridge,Northeast,Maryland,21613,Dorchester,Within boundary of Blackwater National Wildlife Refuge,1,,,N/A,410-228-2677,No,Yes,USA,No,,,,Northeast,,,,,No,"Jane Kane's escape from the Horatio Jones plantation on Buttons Creek near Church Creek, Maryland is nominated to the National Underground Railroad Network to Freedom. On Christmas Eve, 1854, Jane Kane fled from her enslaver, Horatio Jones. Kane was the fiancÃ© of Harriet Tubman's brother, Ben Ross, Jr., and the two conspired to run away together when Tubman returned to Maryland to affect the escape of three of her brothers.Jones's plantation was situated along the Blackwater River and Buttons Creek, next to the former Anthony Thompson plantation where the Ross family had once been enslaved in Dorchester County, MD. Jane used a disguise €œ men's clothing €œ to successfully flee Jones, and her escape is one of the few first person narratives dictated to and published by abolitionist Benjamin Drew in Canada in 1855. A significant portion of the original Jones plantation is now owned by Blackwater National Wildlife Refuge in Dorchester County.This escape is featured in the Harriet Tubman Underground Railroad Byway map guide and audio tour.Visitors can kayak or canoe to Buttons Creek via the Blackwater River and view from the water the landscapes where Jane would have been held in slavery and from where she fled."
Caroline County Courthouse and Jail,2014,27MD03,Site,Escape,,,38.887162,-75.832991,Courthouse Square,Denton,Northeast,Maryland,21629,Caroline,Entire block between 1st and 2nd street and Gay and Market,1,,,N/A,410-479-0655,No,Yes,USA,No,,,,Northeast,,,,,Yes,"The Caroline County Courthouse and Jail site are nominated to commemorate the stories of two captured Underground Railroad agents. In late July 1858, seven enslaved people fled from near Cambridge, MD in Dorchester County with the help of Hugh Hazlett, an Irish immigrant who worked as a wood sawyer.Winding their way through Caroline County, the group was captured between Henderson and Templeville in the northeast corner of the county along the border with Queen Anne's County, MD and Kent County, DE.The group had been betrayed by a free African America named Jesse Perry, who in collusion with a group of white men set an ambush for them.After their capture, Hazlett and the others were brought to Denton and placed in the county jail next to the courthouse to be later taken for trial in Dorchester County. Several of the freedom seekers were related to members of a large party of twenty-eight self liberators, who fled Cambridge in October, 1857.Hazlett and the freedom seekers were returned by steamboat down the Choptank River to Cambridge, where Hazlett was threatened with an angry mob. The freedom seekers were re-enslaved, and Hazlett was tried and convicted and sent to prison for forty-four years.In 1849, Isaac Gibson, a free African American, helped an enslaved man named John Stokes in an unsuccessful attempt to flee his enslaver in Hillsborough, Caroline County.Captured and jailed in Denton, Gibson was tried and convicted at the Caroline County Courthouse in March 1851.He was sentenced to a little more than three years in prison."
"Denton Steamboat Wharf Site, Choptank River",2014,27MD04,Site,Other,,,38.888347,-75.839496,10219 River Landing Road,Denton,Northeast,Maryland,21629,Caroline,,1,,,http://www.harriettubmanbyway.org,410-479-0655,No,No,USA,No,,,,Northeast,,,,,No," The nominated site is the former location of the town of Denton Steamboat Wharf along Choptank River where captured Underground Railroad agent Hugh Hazlett and seven freedom seekers boarded the Steamer Kent for return to Cambridge, Maryland, from which they had fled. Late at night on Saturday, July 24, 1858, William Henry Cornish, Mary Light, Charles Anthony Light, Esther Cornish, Solomon Cornish, Thomas Ridout, and John Green, fled their enslavers in the Town Point and Cambridge area in Dorchester County, Maryland. Their risky escape relied on the help they received from a white conductor, an Irish immigrant named Hugh Hazlett. Winding their way through neighboring Caroline County, the group was captured between Henderson and Templeville in the northeast corner of the Caroline County along the border with Queen Anne's County, MD and Kent County, DE. The group had been betrayed by a free African America named Jesse Perry, who in collusion with a group of white men set an ambush for them.  After their capture, Hazlett and the others were brought to Denton and placed in the County jail next to the County Courthouse. Several of the freedom seekers were related to members of a large party of twenty-eight who fled Cambridge in October, 1857. Hazlett and the freedom seekers were returned by steamboat, which was docked at the wharf across the river from the courthouse, down the Choptank River to Cambridge for trial. The freedom seekers were re-enslaved, and Hazlett was convicted and sent to prison for forty-four years."
Long Wharf at Cambridge,2014,27MD06,Site,Escape,,,38.575284,-76.072233,100 High Street,Cambridge,Northeast,Maryland,21613,Dorchester,,1,,,http://harriettubmanbyway.org,410-228-1000,No,No,USA,No,,,,Northeast,,,,,No,"The night of Saturday, July 24, 1858, William Henry Cornish, Mary Light, Charles Anthony Light, Esther Cornish, Solomon Cornish, Thomas Rideout, and John Green, fled their enslavers in the Town Point and Cambridge areas in Dorchester County, Maryland. Their escape relied on the help from a white conductor, an Irish immigrant and wood sawyer named Hugh Hazlett. Several of the freedom seekers were related to members of a large party of 28 who fled Cambridge in October, 1857. Winding their way northeast, the group was captured in northeastern Caroline County, 50 miles away. They were betrayed by a free African American named Jesse Perry, who colluded with a group of white men and set an ambush for them. Hazlett and the others were jailed in Denton, Caroline County, to await rendition back to Cambridge, Dorchester County. On the morning of August 2, Hazlett and the freedom seekers traveled on the steamboat Kent from Denton via the Choptank River to Cambridge, where a mob had gathered to await their arrival at Long Wharf. The sheriff feared the mob would lynch Hazlett, so he ordered the steamboat to leave Long Wharf and dock at another location upriver. Hazlett was later safely secured in the Cambridge jail. The freedom seekers were re-enslaved, and Hazlett was tried and convicted and sent to prison for 44 years. OOn Christmas Day 1861, John Wesley and George Hackett fled from Bucktown, Dorchester County. Using a forged pass, Hughes boarded the steamer Kent at Long Wharf. On his way to Baltimore, the suspicious captain arrested Hughes and returned him to Cambridge via the steamboat Champion, where Hughes was returned to his enslaver, Pritchettt Meredith. The Long Wharf itself is no longer extant, but the site now is a publicly owned waterfront location for pedestrians, boats, bikes and motor vehicles."
Parson's Creek: Keene Family Escape Route,2014,27MD07,Site,Escape,,,38.489396,-76.260935,Parsons Creek at Route 16,Madison,Northeast,Maryland,21648,Dorchester,Parsons Creek on the Little Choptank River,1,,,N/A,410-228-1000,No,Yes,USA,No,,,,Northeast,,,,,No,"On April 4th or 6th, 1831, Joseph Keene and his pregnant wife Nellie stole a small boat and sailed their seven children to freedom from Parsons Creek in Dorchester County, Maryland.Enslaved by Levin Woolford, the Keene family took an unusual and risky step to liberate them.The escape of entire families €œ especially one as large as the Keene family €œ was rare in the annals of the Underground Railroad.A skilled sailor, Joe and Nellie were successful in evading capture.Their final destination remains speculative, but when Levin Woolford died the following year, he had not retrieved the family of nine, and by the time the estate was fully probated in 1839, the family was not listed among Woolford's assets.The creek, owned by the State of Maryland Department of Natural Resources, is being nominated as an escape route to freedom."
Poplar Neck Plantation at Marsh Creek,2014,27MD08,Site,Rescue,,,38.698533,-75.974333,Northwest side of Marsh Creek Bridge,Preston,Northeast,Maryland,21655,Caroline,,1,,,N/A,410-479-0655,No,Yes,USA,No,,,,Northeast,,,,,No,"The northwest side of Marsh Creek Bridge is the nominated portion of the former Anthony C. Thompson ""Poplar Neck"" plantation where Harriet Tubman conducted several escape missions during the 1850's.The northwest side of the Marsh Creek Bridge is nominated because it is the portion of the plantation owned by Caroline County and accessible to the public today. The rest of the former plantation is privately owned.Harriet Tubman's parents, Ben and Rit Ross were active in the Underground Railroad from their home on this large plantation in Caroline County, MD. They assisted Tubman, her brothers, and others as they escaped from or through here. Harriet Tubman led her three brothers, Robert, Henry, and Ben, Ben's fiancÃ© Jane Kane, and friends John Chase and Peter Jackson to freedom on Christmas Day 1854 from this place.With Ben Ross's aid, Tubman was able to affect the escape of Josiah Bailey, his brother William Bailey, and friends Peter Pennington and Eliza Manokey from here to Canada in November 1856.Josiah was a skilled timber foreman for shipbuilder William R. Hughlett at Jamaica Point in Talbot County, six miles downriver from here.In November 1856, Josiah rowed up the Choptank River at night, to Poplar Neck where he told Ben Ross they were ready to flee when Tubman was ready to go.They were hotly pursued by their enslavers, who offered a reward of $2600 for the capture of the fugitives, including $1500 for Josiah Bailey, one of the highest ever for a Maryland slave. Later, after Ben and Rit provided aid in the escape of eight enslaved people in March 1857 from Dorchester County, their Underground Railroad activities were exposed.Threatened with arrest, their daughter Harriet Tubman returned from Canada to rescue them, bringing them safely to St. Catharines, Ontario.William Cornish, enslaved by Thomas Dail and his sons of Dorchester County, fled slavery while attending a Methodist Camp meeting at Marsh Creek in August of 1856"
Richard Potter Home Site,2014,27MD10,Site,Rescue,,,38.886447,-75.830423,9 N. 4th Street,Denton,Northeast,Maryland,21629,Caroline,,1,,,N/A,410-479-2730,No,Yes,USA,No,,,,Northeast,,,,,No,"The Richard Potter Home Site is relevant to the Underground Railroad because it was in the post Civil-War residence (ca. 1866-1878) of Richard Potter in Denton, Maryland that he wrote his kidnapping narrative.His ownership is documented by the 1870 census for Denton and Caroline County land records.
In Denton Maryland, in1853, African American and white residents celebrated the rescue and return of Richard John Potter, a free black youth who had been kidnapped from Greensboro, Caroline County, MD and sold into slavery to Delaware. Born free around 1838 in Greensboro, Richard was indentured in 1848 by his mother, Sydney Potter, to Batchelder C. Skinner, a farmer living near Greensboro.Finding that he no longer could use Richard's labour, Skinner leased him, illegally, to Edward Taylor, another farmer near Greensboro, sometime around 1852.Taylor was cruel and abusive.When Richard's parents sued in court to cancel their son's indenture, Taylor schemed to sell Potter as a slave.In a trap set by Taylor, Potter was kidnapped from Taylor's farm and sold to a man named Vaughn, who lived near Concord, in Sussex, DE. With search parties hot on Potter's trail, Vaughn decided to kill him.Fortunately, young Richard fled from the Vaughn home and found refuge with a sympathetic neighbour, Mrs. Short.Potter was rescued and brought back to Denton, Caroline Co., and while resting on the steps of the local hotel at this site on Courthouse Square, he was greeted by his joyful parents and cheering crowds. Potter's indenture, kidnapping, and rescue are vividly documented in his memoir, ""The Narrative of the Experience, Adventures, and Escape of Richard Potter,"" first published in 1866."
Staplefort Farm: Bob Manokey Escape Site,2014,27MD11,Site,Escape,,,38.444839,-76.119619,"Wildlife Drive, Blackwater National Wildlife Refuge",Cambridge,Northeast,Maryland,21613,Dorchester,Within the boundaries of Blackwater National Wildlife Refuge,1,,,N/A,410-228-2677,No,Yes,USA,No,,,,Northeast,,,,,No,"On December 10, 1828, Bob Manoca (Manokey) fled from the Staplefort family, whose plantation sat on the west side of the Little Blackwater River near the Little Blackwater Bridge in Dorchester County, Maryland.The Little and Big Blackwater rivers provided water access to the area's farms from the late 17th century through the 19th century, facilitating the movement of goods to and from markets around the Chesapeake and beyond. The Stapleforts advertised a $150 reward for the capture and return of the thirty-six year old man, noting that Manoca was a very skilled man, ""a great sawyer, having followed it ever since he was about 18 years of age.""The Stapleforts believed that Manoca was heading to Baltimore, then on to Philadelphia or New York.Given his experience as a sawyer and the Staplefort's home on a navigable river, Manoca would have been familiar with the watermen who manned the vessels that carried the coveted timber to shipyards throughout the Chesapeake and as far away as New England.Such relationships would have facilitated quick and reliable transportation for his escape. The farm, now wholly included within the boundaries of Blackwater National Wildlife Refuge and situated along Wildlife Drive, is also located across the river from the site where Harriet Tubman's mother and grandmother were once enslaved. Visitors may drive along the Little Blackwater Bridge or Wildlife Drive to see the Staplefort farm where Bob Manokey fled."
Howard County Historical Society,2014,27MD12,Facility,,Archive,,39.27302969,-76.83943472,9421 Frederick Road,Ellicott City,Northeast,Maryland,21042,Howard,,7,,,http://www.hchsmd.org,410-840-3250,No,Yes,USA,No,,,,Northeast,,,,,Yes,"The Howard County Historical Society is a non-profit organization dedicated to collecting, preserving, exhibiting and providing access to the county's rich history and heritage.Our archives and manuscript collection includes court cases dealing with Fugitive slaves and those who aided, abetted and enticed runaways, in addition to ledgers and records of slaveholders.We have identified connections between the County's slaveholders (including the Charles Carroll family) and court cases presented in the District Court dealing with fugitive cases.We are seeking acknowledgement as an archival repository crucial to recounting the history of those who attempted to flee slavery via the Underground Railroad and the fates of those tried in the court system."
Harriet Tubman Conference (location changes),2014,27MD12,Program,,,Public Program,38.569301,-76.076943,416-418 Race Street,Cambridge,Northeast,Maryland,21613,Dorchester,,1,,,N/A,410-228- 1064,No,Yes,USA,No,,,,Northeast,,,,,Yes,"The Harriet Tubman Underground Railroad Conference, held annually in Cambridge, MD in early June since 2010, is being nominated as a program.Dorchester County embraces a landscape similar to the way it was when the Underground Railroad was operating on the Eastern Shore during the Nineteenth Century.The intention of the Conference is to bring together community, historians, researchers, educators, genealogists and artists to ""Put the Pieces Together"" regarding the Underground Railroad story.

Presenters and participants come from across the country to present workshops, to learn and share ideas and to participate in this interactive conference. They provide their documentation regarding Underground Railroad flight stories/individuals who assisted and routes that may have been used €œ both water and land. Noted scholars are selected as keynote speakers to set the stage of a topic such as genealogy.Up to thirty workshop leaders engage participants in their research. People just starting their research are recognized, as are those who have made Underground Railroad history their life work.The conference provides updates on the state park development, the national monument status and potential national park status.The conference is managed by committed volunteers who have made this a community commitment."
Finney Barn Site,2014,27MI01,Site,Station,,,42.332738,-83.049103,1212 Griswold Street,Detroit,Midwest,Michigan,48226-1802,Wayne,NE Corner of State & Griswold Streets,13,,,N/A,No,No,No,USA,No,,,,Midwest,,,,Seymour Finney,No,"By the early 1850s, the site of Finney's Barn, operated by Seymour Finney, in connection with his Detroit hotel, was an important Underground Railroad station. The barn was ideally situated at the northern terminus of Underground Railroad networks in Michigan and from nearby states. Up in the hayloft or wedged into false-bottomed wagons, the formerly enslaved waited until the dark of night to be carried across the Detroit River to Canada or other hiding places in Michigan. Finney's son and Underground Railroad participants identified Finney's Barn as a key station in the region in the decade before the Civil War. Finney embraced the Free-Soil, and then Republican Party. In 1864, retired from the hotel business, Finney publicly lectured for racial equality. As early as 1878, Finney's Barn was described in Michigan history books as a station on the Underground Railroad. Despite its historical significance, the barn was razed for the Detroit Chamber of Commerce building in 1892. Today that building bears an historical plaque presented September 1926 by the City of Detroit, designating the site as ""Detroit's Underground Railway Station"". On January 23, 1980, the State of Michigan placed a historic marker opposite the current Griswold St. building entrance commemorating the Finney Barn site."
John Brown House,2014,27OH01,Site,Station,,,41.084195,-81.542636,514 Diagonal Road,Akron,Midwest,Ohio,44320,Summit,Bounded by Copley Road and Diagonal Road in Akron.,11,,,http://www.summithistory.org/,330-535-1120,No,Yes,USA,No,,,,Midwest,,,,John Brown,Yes,"The John Brown House in Akron, Ohio,isassociatedwithone of the most famous abolitionists in the United States, John Brown (1800-1859).Brownwas involved in the Underground Railroad and ultimately sacrificed his life to end slavery. While his role as a conductor has been recognized at various locations throughout the United States, Brown called this Akron residence ""home"" for the better part of a decade between 1844 and 1854 and he spent the majority of his life living in Summit County, Ohio. It was in conjunction with his employment in the wool trade, here, that Brown traveled to Springfield, Massachusetts where he became more involved abolitionism and the Underground Railroad.

As a result of this experience, when Brown returned to Akron his Underground Railroad activities became more aggressive.

Since 1971, the home has been owned operated by The Summit County Historical Society (SCHS), whose responsibility is to tell the story of Brown's life in Akron and his involvement in the Underground Railroad during residency at the house.

"
"John Brown, Slavery, Abolition and the Underground Railroad €œ Discovery Trunk for The Summit County Historical Society of Akron, Ohio",2014,27OH02,Program,,,Public Program,41.084195,-81.542636,"514 Diagonal Road, Akron, Ohio",Akron,Midwest,Ohio,44320,Summit,,11,,,http://www.summithistory.org/,33-53-1120,No,Yes,USA,No,,,,Midwest,,,,,No,"The ""John Brown, Slavery, Abolition and the Underground Railroad""DiscoveryTrunkwas designed by Akron Public School teachers as a result of a collaborative workshop funded by a Teaching America History grant starting in 2007, to assist educators to integrate primary resources into their everyday curriculum, specifically as it relates to the local Underground Railroad history of Summit County, which has national significance. The county had a number of known stations and was also home to renowned abolitionist and Underground Railroad activist, John Brown, for much of his life

The trunk, which is available as a free resource from the Summit County Historical Society (SCHS), located in Akon, Ohio, allows users to interact with this history in a tangible way. It contains primary sources, secondary sources, picture books, photographs and reproduction materials such as documents, maps, clothing, artifacts and a cotton gin. It is also accompanied with lesson plans, vocabulary words, classroom activities and curriculum designed by area social studies teacher, which meet the Ohio Academic Standards and Benchmarks for 3rd, 4th, 5th, 8th, and 10th grades.

"
Path to Freedom Sculpture at Facer Park,2014,27OH03,Site,Commemorative Site/Monument,,,41.45842,-82.709188,Intersection of Hancock and East Water Streets,Sandusky,Midwest,Ohio,44870,Erie,,9,,,N/A,No,No,Yes,USA,No,,,,Midwest,,,,,No,"In 2007, the City of Sandusky, Ohio dedicated the ""Path to Freedom"", an interpretive sculpture, located in Facer Park, that commemorates the city's important role in the Underground Railroad. The life-sized sculpture, by Susan Schultz, depicts a slave family's (man, woman, and child) flight to freedom. Informational plaques that surround the sculpture memorialize participants, black and white, enslaved and free that contributed to the Sandusky's evolution as a terminus of the Underground Railroad.

The sculpture's location, 50 yards from Sandusky Bay, is symbolic of Sandusky's strategic waterfront location, where only Lake Erie separated fugitive slaves from true freedom on the Canadian mainland, a mere 35 miles north of Sandusky.

Sandusky's role in Underground Railroad activities is well documented. Levi Coffin, President of the Underground Railroad, revealed that Sandusky was an important route to freedom. Harriet Beecher Stowe referenced Sanduskyin the fictional but based on historical fact, ""Uncle Tom's Cabin"", released in 1852. In 1854, in two separate legal cases, the federal government tried noted Sandusky abolitionist Rush Sloane for violating the 1850 Fugitive Slave Act for orchestrating an escape of captured slaves. However, these incidences barely touch the surface of Sandusky's relevance to the Underground Railroad."
Wayneville's Role in the Underground Railroad,2014,27OH04,Program,,,School Program,39.537161,-84.084964,Mary L. Cook Public Library,Waynesville,Midwest,Ohio,45068,Warren,,1,,,N/A,No,No,No,USA,No,,,,Midwest,,,,,No,"First presented in 2012, the educational youth program, Waynesville's Role in the Underground Railroad, is presented each year to the sixth grade students at the Waynesville Middle School in Waynesville, Ohio. Designed by the Waynesville Underground Railroad Committee (WURC), the interactive program builds upon the sixth grade language arts and social studies curriculum and includes PowerPoint lecture, walking tour, and trip to Camp Joy, an outdoor educational camp, near Clarksville, Ohio where students participate in a living history re-enactment of the Underground Railroad Movement. The program builds upon existing historical sites, some of which are listed on the National Register, and historical documents, including the 1840 Miami Monthly Meeting Minutes and letters from the Wilbur Siebert Collection, to explore how Waynesville, settled by Quakers from the Bush River (South Carolina) Quaker Meeting who were committed to anti-slavery principles, was an important stop on the Underground Railroad."
James A. Fields House,2014,27VA01,Site,Destination,,,36.983192,-76.42131,617 €œ 27th Street,Newport News,Southeast,Virginia,23607,City of Newport News,,3,,,N/A,7572451991,jafieldshouse@hotmail.com,Yes,USA,No,,,,Northeast,,,,,No,"This house at 617-27th Street was the law office and last primary residence of James Apostles Fields from 1897 until his death in 1903. Fields was born a slave in Hanover County, Virginia in 1844. At the age of 17, he escaped slavery and eluded capture for 11 €œ12 months by first hiding in the countryside of Hanover County and then in the city of Richmond, Virginia. He was recaptured but made his final escape to freedom behind the lines of the Union army in late 1862. He served as a guide for the Federals until 1864 when he rejoined his family, who had also escaped to freedom as ""contraband of war,"" at Fort Monroe. Fields was in the first graduating class of Hampton Normal and Agricultural School (now Hampton University) in 1871. He was the first black judicial officer in Warwick County (now Newport News). In 1881, Fields graduated from the Howard University Law School in Washington, D.C. He became a successful teacher, lawyer, politician and property owner. This property represents Mr. Fields at the height of his success and epitomizes his rise from slavery to freedom."
Tangier Island,2014,27VA02,Site,"Destination,Military Site,Archaeological Site",,,37.8079,-75.988144,Southernmost mile of Tangier Island,Tangier,Northeast,Virginia,23440,Accomack,,2,,,N/A,No,No,Yes,USA,No,,,,Northeast,,,,,No,"The subaqueous land off the coast of the southernmost mile of unimproved beach on Tangier Island in Accomack County, Virginia, is nominated for certification as a site on the Underground Railroad Network to Freedom. This subaqueous land would have been beach property above the water line during Tangier Island's significance to the Underground Railroad. Nearly 1,000 slaves would have arrived on this stretch of beach from April 1814 to March 1815 during the War of 1812, escaping bondage from nearby plantations and destined for Fort Albion, maintained by the British at this site as a naval depot and haven for escaped American slaves. Recruiting escaped slaves was a common military tactic for the British during the War of 1812, and Tangier Island was selected to house a naval station because of its proximity to the numerous slave plantations in Tidewater Virginia and eastern Maryland. Today, there are no structures that remain on Tangier Island from its period of significance to the Underground Railroad, and the site being nominated for certification is primarily an archaeological site and cultural landscape. Tangier Island is affiliated with the Star-Spangled Banner National Historic Trail."
